value,type
29886,kilometers
38879,kilometers
31314,kilometers
20723,kilometers
13616,kilometers
18017,kilometers
19748,kilometers
20339,kilometers
12110,kilometers
24958,kilometers
23884,kilometers
18311,kilometers
27414,kilometers
19423,kilometers
25855,kilometers
16738,kilometers
18242,kilometers
29791,kilometers
29496,kilometers
12503,kilometers
14778,kilometers
23243,kilometers
57953,kilometers
18242,kilometers
27354,kilometers
66075,kilometers
26508,kilometers
22201,kilometers
28709,kilometers
27658,kilometers
14576,kilometers
25836,kilometers
25162,kilometers
66188,kilometers
18239,kilometers
29788,kilometers
30912,kilometers
12903,kilometers
20535,kilometers
37808,kilometers
27050,kilometers
58958,kilometers
14363,kilometers
21534,kilometers
58859,kilometers
30737,kilometers
24801,kilometers
33360,kilometers
36422,kilometers
20903,kilometers
39366,kilometers
25212,kilometers
20798,kilometers
15978,kilometers
26720,kilometers
24387,kilometers
26579,kilometers
29569,kilometers
25722,kilometers
31716,kilometers
33190,kilometers
24800,kilometers
35890,kilometers
24231,kilometers
46757,kilometers
17010,kilometers
16103,kilometers
23405,kilometers
25525,kilometers
30279,kilometers
26766,kilometers
19675,kilometers
49096,kilometers
12724,kilometers
20255,kilometers
29733,kilometers
19655,kilometers
29889,kilometers
65714,kilometers
12671,kilometers
21357,kilometers
23529,kilometers
27502,kilometers
19295,kilometers
18147,kilometers
22219,kilometers
27867,kilometers
30453,kilometers
29787,kilometers
30075,kilometers
25154,kilometers
12721,kilometers
46421,kilometers
20550,kilometers
64205,kilometers
18170,kilometers
18240,kilometers
28500,kilometers
29448,kilometers
23623,kilometers
67970,kilometers
