value,type
-2.926318298002326,variable 2
-2.9903847766373475,variable 2
-2.8265902417443765,variable 2
-2.910095738578548,variable 2
-2.960198139559815,variable 2
-2.9758450824678997,variable 2
-2.9633843825958164,variable 2
-2.908550752915719,variable 2
-2.991919245008708,variable 2
-2.929559348820157,variable 2
-2.974735195657893,variable 2
-2.9952601361308653,variable 2
-2.8336830063994993,variable 2
-2.9975210340784053,variable 2
-2.98591841125846,variable 2
-2.997874246146078,variable 2
-2.5919013960739106,variable 2
-2.972620416005901,variable 2
-2.9764002465737787,variable 2
-2.984930752967753,variable 2
-2.992628608641125,variable 2
-2.9700133493310714,variable 2
-2.9816838255417357,variable 2
-2.986444760976115,variable 2
-2.920480641333522,variable 2
-2.9842889166454816,variable 2
-2.9425318480584584,variable 2
-2.6495429079569472,variable 2
-2.9936252222178217,variable 2
-2.976377627716448,variable 2
-2.992881892124122,variable 2
-2.999321140091773,variable 2
-2.993837017515091,variable 2
-2.994360710869051,variable 2
-2.829572177008859,variable 2
-2.8520904424593962,variable 2
-2.9935650961413725,variable 2
-2.972556873241298,variable 2
-2.982766142636926,variable 2
-2.9794094135427267,variable 2
-2.9829535514815615,variable 2
-2.7550887188342688,variable 2
-2.985221629564263,variable 2
-2.652404584705984,variable 2
-2.933655938828883,variable 2
-2.9986088064220557,variable 2
-2.9964504141296353,variable 2
-2.836155421680503,variable 2
-2.9865682222390455,variable 2
-2.7764509793425898,variable 2
-2.981022689226115,variable 2
-2.9932572721035524,variable 2
-2.988135711438027,variable 2
-2.900638870679106,variable 2
-2.710755481695036,variable 2
-2.9298040166181516,variable 2
-2.9858147653552476,variable 2
-2.881635852428606,variable 2
-2.9213368811999905,variable 2
-2.5506231624930966,variable 2
-2.981867186215351,variable 2
-2.951637930406884,variable 2
-2.973458244249753,variable 2
-2.991544699636482,variable 2
-2.9884532343846075,variable 2
-2.8028036946523573,variable 2
-2.993762152199068,variable 2
-2.9837871645375142,variable 2
-2.960465595617975,variable 2
-2.9881417240456716,variable 2
-2.9731346371168645,variable 2
-2.9123455895525185,variable 2
-2.7771542444729667,variable 2
-2.9759971791723983,variable 2
-2.9551972151860095,variable 2
-2.9786847988833,variable 2
-2.835067640747413,variable 2
-2.9954785713034577,variable 2
-2.994336046054952,variable 2
-2.889468629108765,variable 2
-2.9369444415280004,variable 2
-2.9757249376829953,variable 2
-2.9378862019897145,variable 2
-2.993297320365187,variable 2
-2.849152806433779,variable 2
-2.99753957867827,variable 2
-2.995251205976939,variable 2
-2.9367151464407426,variable 2
-2.9920393826357463,variable 2
-2.9975261340581043,variable 2
-2.9850328360701686,variable 2
-2.988793197241863,variable 2
-2.9834816668062234,variable 2
-2.987331138640744,variable 2
-2.9805194554398353,variable 2
-2.804880248912651,variable 2
-2.996291620445947,variable 2
-2.873589507288645,variable 2
-2.9915158825441748,variable 2
-2.4867612524940528,variable 2
-2.9900361965044526,variable 2
-2.9927952246796403,variable 2
-2.9878246305710654,variable 2
-2.9838630379197,variable 2
-2.977527009246433,variable 2
-2.986001450460074,variable 2
-2.9898610117047246,variable 2
-2.9037649112880852,variable 2
-2.911804359426261,variable 2
-2.9893307601546484,variable 2
-2.987630583680339,variable 2
-2.9888114712743836,variable 2
-2.9483713944039507,variable 2
-2.89108617326639,variable 2
-2.7302899571984156,variable 2
-2.952300450576645,variable 2
-2.720636916044781,variable 2
-2.992192485815771,variable 2
-2.969164538534446,variable 2
-2.9565014579475006,variable 2
-2.961013220104744,variable 2
-2.912737198005361,variable 2
-2.9688560273414666,variable 2
-2.9161124182540235,variable 2
-2.954220023286388,variable 2
-2.977049417322995,variable 2
-2.9057169536697476,variable 2
-2.799640700365916,variable 2
-2.9490898373920387,variable 2
-2.6925855054618264,variable 2
-2.9374238157601336,variable 2
-2.853785604132615,variable 2
-2.8934997842902446,variable 2
-2.943023688907633,variable 2
-2.7283229182916537,variable 2
-2.931843459727926,variable 2
-2.9889442196301705,variable 2
-2.995087502712794,variable 2
-2.971181732609979,variable 2
-2.433009504074624,variable 2
-2.9641180638858193,variable 2
-2.9166044340732618,variable 2
-2.992717941197805,variable 2
-2.9482104219453094,variable 2
-2.987178882236296,variable 2
-2.9628686980988648,variable 2
-2.9188007776111036,variable 2
-2.9712455887300595,variable 2
-2.930023063231585,variable 2
-2.9339160198988563,variable 2
-2.7303571552467134,variable 2
-2.7772178731319643,variable 2
-2.915290500356195,variable 2
-2.994423768091727,variable 2
-2.9789574658680853,variable 2
-2.8437731736727394,variable 2
-2.9248045572209707,variable 2
-2.986980407966702,variable 2
-2.946616508290111,variable 2
-2.870742295791969,variable 2
-2.967775640484206,variable 2
-2.971817852183077,variable 2
-2.7731778302665657,variable 2
-2.9569662579686424,variable 2
-2.9476146011591644,variable 2
-2.967879451018342,variable 2
-2.8196270853686505,variable 2
-2.987327278164883,variable 2
-2.9757493102175556,variable 2
-2.979715970638222,variable 2
-2.9237518212010105,variable 2
-2.8529870940480406,variable 2
-2.9685146448407393,variable 2
-2.9473666049533667,variable 2
-2.918196200368587,variable 2
-2.990085789064937,variable 2
-2.9944923905554073,variable 2
-2.9437904236333132,variable 2
-2.9535614041537297,variable 2
-2.9096042317631317,variable 2
-2.994570847927307,variable 2
-2.9458528212248134,variable 2
-2.931300879150904,variable 2
-2.9426215361224948,variable 2
-2.9802981533032167,variable 2
-2.960776652625382,variable 2
-2.9097831187703442,variable 2
-2.9838383671407125,variable 2
-2.9298109836079624,variable 2
-2.8210710464979494,variable 2
-2.923835203184886,variable 2
-2.703605589314102,variable 2
-2.8114553789499306,variable 2
-2.9957112892823536,variable 2
-2.8184283694385566,variable 2
-2.9889218240982665,variable 2
-2.9533209952861506,variable 2
-2.9680571450478475,variable 2
-2.9475904075712602,variable 2
-2.952516832873199,variable 2
-2.9968306550160317,variable 2
-2.8172754877119783,variable 2
-2.84262020366581,variable 2
-2.8508988581500367,variable 2
-2.9341815409471748,variable 2
-2.9964339861108185,variable 2
-2.9352068694972866,variable 2
-2.9418444543034994,variable 2
-2.907599074832665,variable 2
-2.9900088863815855,variable 2
-2.977931188900696,variable 2
-2.9912044433067106,variable 2
-2.9010100203595863,variable 2
-2.895595667175353,variable 2
-2.926516313214098,variable 2
-2.9818345558891,variable 2
-2.9022238155279005,variable 2
-2.8336552147908294,variable 2
-2.781650548820397,variable 2
-2.862644453780975,variable 2
-2.86445551323846,variable 2
-2.981110838348909,variable 2
-2.760910297344852,variable 2
-2.914202397319124,variable 2
-2.9933152522517013,variable 2
-2.681215807562643,variable 2
-2.9631452024952756,variable 2
-2.924977061797449,variable 2
-2.9372525113192287,variable 2
-2.958239594654329,variable 2
-2.9873053273750685,variable 2
-2.972166189743838,variable 2
-2.9681132627192,variable 2
-2.9863285649474216,variable 2
-2.98895980516813,variable 2
-2.993281945268495,variable 2
-2.9747765561950055,variable 2
-2.8723844820971163,variable 2
-2.8037653969294265,variable 2
-2.9268450501511274,variable 2
-2.8204052217799394,variable 2
-2.982367103523604,variable 2
-2.885563345005185,variable 2
-2.8860632981027696,variable 2
-2.941124993307768,variable 2
-2.9075846159428527,variable 2
-2.9156289839210934,variable 2
-2.9012803109327785,variable 2
-2.8348107807172496,variable 2
-2.952509309160458,variable 2
-2.8492911250410766,variable 2
-2.938497741450131,variable 2
-2.9669106696115572,variable 2
-2.9928977539557184,variable 2
-2.988401892441613,variable 2
-2.8229260743418156,variable 2
-2.873465489302784,variable 2
-2.9947953973492454,variable 2
-2.9965374702462535,variable 2
-2.975232965606273,variable 2
-2.95047638766215,variable 2
-2.996596395232747,variable 2
-2.931645563813925,variable 2
-2.900893378952549,variable 2
-2.936531432645726,variable 2
-2.996118218273041,variable 2
-2.9918733523492853,variable 2
-2.9945405300690444,variable 2
-2.980535656077101,variable 2
-2.939953823232936,variable 2
-2.9704779871072455,variable 2
-2.9179912308921,variable 2
-2.964098133204922,variable 2
-2.939972974501731,variable 2
-2.944044114319367,variable 2
-2.783600370672887,variable 2
-2.788810209302799,variable 2
-2.995615040318118,variable 2
-2.8979119765514425,variable 2
-2.8633126310510244,variable 2
-2.8831211287618648,variable 2
-2.8694389151557007,variable 2
-2.7918743200530356,variable 2
-2.9671409739579557,variable 2
-2.9806565715256044,variable 2
